np_tag_id,record_id,table_id,title,description
351,9884,1,"Australia to Sudan: SDG_4_SUM 277376.0",""
352,9909,1,"Australia to Suriname: SDG_4_SUM 171673.0",""
353,9926,1,"Australia to Syria: SDG_4_SUM 119714.0",""
354,9958,1,"Australia to Tanzania: SDG_4_SUM 5003145.5",""
355,9996,1,"Australia to Thailand: SDG_4_SUM 6833195.0",""
356,10043,1,"Australia to Timor-Leste: SDG_4_SUM 26740049.5",""
357,10090,1,"Australia to Togo: SDG_4_SUM 417154.0",""
358,10107,1,"Australia to Tonga: SDG_4_SUM 12251173.0",""
359,10153,1,"Australia to Trinidad and Tobago: SDG_4_SUM 39527.0",""
360,10157,1,"Australia to Tunisia: SDG_4_SUM 211715.0",""
361,10173,1,"Australia to Turkey: SDG_4_SUM 210055.0",""
362,10193,1,"Australia to Tuvalu: SDG_4_SUM 4539686.5",""
363,10234,1,"Australia to Uganda: SDG_4_SUM 4968485.0",""
364,10290,1,"Australia to United Kingdom: SDG_4_SUM 155970673.5",""
365,10341,1,"Australia to Uruguay: SDG_4_SUM 123667.0",""
366,10355,1,"Australia to Vanuatu: SDG_4_SUM 31564841.5",""
367,10401,1,"Australia to Venezuela: SDG_4_SUM 212161.0",""
368,10409,1,"Australia to Viet Nam: SDG_4_SUM 77302105.5",""
369,10455,1,"Australia to Yemen: SDG_4_SUM 16166.0",""
370,10471,1,"Australia to Zambia: SDG_4_SUM 4394214.0",""
371,10507,1,"Australia to Zimbabwe: SDG_4_SUM 1781389.0",""
372,216,1,"SDG_5_SUM",""
373,6899,1,"Australia to Afghanistan: SDG_5_SUM 959.0",""
374,7026,1,"Australia to Bangladesh: SDG_5_SUM 934451.0",""
375,7145,1,"Australia to Bolivia: SDG_5_SUM 156.0",""
376,7255,1,"Australia to Burundi: SDG_5_SUM 375.0",""
377,7282,1,"Australia to Cambodia: SDG_5_SUM 725546.5",""
378,7424,1,"Australia to China: SDG_5_SUM 315926.0",""
379,7613,1,"Australia to Ecuador: SDG_5_SUM 135.5",""
380,7705,1,"Australia to Eswatini: SDG_5_SUM 37.5",""
381,7736,1,"Australia to Ethiopia: SDG_5_SUM 2450873.5",""
382,7776,1,"Australia to Fiji: SDG_5_SUM 1931818.5",""
383,7872,1,"Australia to Ghana: SDG_5_SUM 29886.0",""
384,7990,1,"Australia to Haiti: SDG_5_SUM 316.0",""
385,8017,1,"Australia to Honduras: SDG_5_SUM 292.5",""
386,8042,1,"Australia to India: SDG_5_SUM 5707553.0",""
387,8092,1,"Australia to Indonesia: SDG_5_SUM 14054996.0",""
388,8161,1,"Australia to Iraq: SDG_5_SUM 2113079.5",""
389,8185,1,"Australia to Ivory Coast: SDG_5_SUM 29629.5",""
390,8225,1,"Australia to Jordan: SDG_5_SUM 77639.0",""
391,8261,1,"Australia to Kenya: SDG_5_SUM 278604.5",""
392,8302,1,"Australia to Kiribati: SDG_5_SUM 633380.0",""
393,8372,1,"Australia to Laos: SDG_5_SUM 264916.0",""
394,8419,1,"Australia to Lebanon: SDG_5_SUM 300.0",""
395,8503,1,"Australia to Libya: SDG_5_SUM 29629.5",""
396,8615,1,"Australia to Maldives: SDG_5_SUM 58229.5",""
397,8664,1,"Australia to Marshall Islands: SDG_5_SUM 22903.0",""
398,8872,1,"Australia to Mozambique: SDG_5_SUM 1019.5",""
