name,id,lat,lon,population,number,score,parent_country,success,is_altername
Milan,0000201940,41.45309,-90.57208,3250,10.0,0.13698630136986298,USA,True,False
Phoenix,0000197753,33.44838,-112.07404,4553,7.0,0.2702702702702703,USA,True,False
Arizona,0000197610,34.0489281,-111.0937311,7151502,3.0,1.0,USA,True,False
Washington,0000215793,47.7510741,-120.7401385,1000000,0.0,0.10478800580364345,USA,True,False
Florida,0000199794,27.6648274,-81.5157535,1000000,5.0,0.5628344237673027,USA,True,False
Lee County,0000197342,32.60114,-85.35556,0,4.0,0.08333333333333333,USA,True,False
Kentucky,0000203439,37.8393332,-84.2700179,4505836,8.0,1.0,USA,True,False
California,0000198127,36.778261,-119.4179324,1000000,9.0,0.3845039012357364,USA,True,False
Valley,0000197489,32.81874,-85.17939,2117,10.0,0.5263157894736842,USA,True,False
Alabama,0000197134,32.3182314,-86.902298,1000000,12.0,0.5909090909090908,USA,True,False
Los Angeles,0000198686,34.05223,-118.24368,3898747,15.0,1.0,USA,True,False
Reno,0000207472,39.52963,-119.8138,241445,1.0,0.35714285714285715,USA,True,False
New Mexico,0000208239,34.5199402,-105.8700901,2117522,6.0,1.0,USA,True,False
Socorro County,0000208395,34.00724,-106.93033,16595,2.0,1.0,USA,True,False
Albuquerque,0000208243,35.08449,-106.65114,564559,4.0,1.0,USA,True,False
Dallas,0000200769,33.92371,-84.84077,15277,,,USA,True,False
Jackson,0000197326,31.50905,-87.89444,10523,6.0,0.0689655172413793,USA,True,False
Philadelphia,0000206411,32.77152,-89.11673,1223,1.0,0.35714285714285715,USA,True,False
Edinburg,0000201648,39.65727,-89.38953,1220,2.0,0.2702702702702703,USA,True,False
Carthage,0000201549,40.41643,-91.13625,3591,3.0,0.15624999999999997,USA,True,False
Walnut Grove,0000199189,38.24214,-121.51162,9790,4.0,0.2702702702702703,USA,True,False
Kosciusko,0000206335,33.058,-89.58956,7114,5.0,1.0,USA,True,False
Rankin County,0000206427,32.26412,-89.9458,157031,7.0,1.0,USA,True,False
Byram,0000199551,41.00426,-73.65374,4146,8.0,0.5524861878453039,USA,True,False
California,0000198127,36.778261,-119.4179324,1000000,0.0,0.3845039012357364,USA,True,False
East Palo Alto,0000198412,37.46883,-122.14108,29662,1.0,1.0,USA,True,False
West,0000214918,31.80238,-97.09167,2883,2.0,1.0,USA,True,False
West Virginia,0000216227,38.5976262,-80.4549026,1793716,5.0,1.0,USA,True,False
Texas,0000213703,31.9685988,-99.9018131,29145505,6.0,1.0,USA,True,False
Greene,0000202873,42.89581,-92.80242,888,0.0,0.35714285714285715,USA,True,False
Unicoi,0000213673,36.19539,-82.34958,3561,1.0,1.0,USA,True,False
Johnson,0000197979,36.13286,-94.16548,659,2.0,0.35714285714285715,USA,True,False
Tennessee,0000213316,35.5174913,-86.5804473,6910840,4.0,1.0,USA,True,False
Virginia,0000215288,37.4315734,-78.6568942,1000000,8.0,0.48139411736388577,USA,True,False
North Carolina,0000209473,35.7595731,-79.0192997,10439388,6.0,1.0,USA,True,False
Kansas City,0000203267,39.11417,-94.62746,475378,1.0,0.5263157894736842,USA,True,False
Alabama,0000197134,32.3182314,-86.902298,1000000,2.0,0.5909090909090908,USA,True,False
Prichard,0000197421,30.7388,-88.07889,527,4.0,1.0,USA,True,False
Florida,0000199794,27.6648274,-81.5157535,1000000,5.0,0.5628344237673027,USA,True,False
Glendale,0000197689,33.53865,-112.18599,881,6.0,0.12195121951219512,USA,True,False
